OriginalVariableNames,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
all_lead_hit_rates_collapsed1,0.476190476190476,0.625,0.733333333333333,0.75,0.538461538461538,0.736842105263158,0.631578947368421,0.666666666666667
all_lead_hit_rates_collapsed2,0.8125,0.75,0.7,0.666666666666667,0.444444444444444,0.642857142857143,0.5,0.785714285714286
all_lead_hit_rates_collapsed3,0.764705882352941,0.916666666666667,0.75,0.866666666666667,0.789473684210526,0.99,0.842105263157895,0.75
all_lead_hit_rates_collapsed4,0.714285714285714,0.95,0.8,0.947368421052632,0.428571428571429,0.588235294117647,0.5625,0.571428571428571
all_lead_hit_rates_collapsed5,0.615384615384615,0.5,0.5,0.611111111111111,0.363636363636364,0.75,0.4,0.736842105263158
all_lead_hit_rates_collapsed6,0.692307692307692,0.6,0.470588235294118,0.421052631578947,0.454545454545455,0.583333333333333,0.3125,0.444444444444444
all_lead_hit_rates_collapsed7,0.736842105263158,0.785714285714286,0.5,0.777777777777778,0.5,0.9,0.4,0.625
all_lead_hit_rates_collapsed8,0.5,0.777777777777778,0.9375,0.722222222222222,0.529411764705882,0.588235294117647,0.4375,0.777777777777778
all_lead_hit_rates_collapsed9,0.466666666666667,0.714285714285714,0.444444444444444,0.75,0.266666666666667,0.631578947368421,0.428571428571429,0.5
all_lead_hit_rates_collapsed10,0.769230769230769,0.833333333333333,0.466666666666667,0.761904761904762,0.5,0.666666666666667,0.65,0.625
all_lead_hit_rates_collapsed11,0.588235294117647,0.8,0.8,0.461538461538462,0.466666666666667,0.857142857142857,0.625,0.666666666666667
all_lead_hit_rates_collapsed12,0.705882352941177,0.625,0.789473684210526,0.692307692307692,0.266666666666667,0.533333333333333,0.368421052631579,0.5625
all_lead_hit_rates_collapsed13,0.75,0.8,0.833333333333333,0.882352941176471,0.7,0.916666666666667,0.705882352941177,0.714285714285714
all_lead_hit_rates_collapsed14,0.5,0.666666666666667,0.529411764705882,0.666666666666667,0.3,0.625,0.578947368421053,0.4
all_lead_hit_rates_collapsed15,0.789473684210526,0.684210526315789,0.75,0.9375,0.777777777777778,0.388888888888889,0.5,0.846153846153846
all_lead_hit_rates_collapsed16,0.545454545454545,0.777777777777778,0.764705882352941,0.8,0.647058823529412,0.99,0.857142857142857,0.619047619047619
all_lead_hit_rates_collapsed17,0.99,0.888888888888889,0.75,0.99,0.473684210526316,0.9375,0.65,0.75
all_lead_hit_rates_collapsed18,0.736842105263158,0.823529411764706,0.875,0.75,0.722222222222222,0.538461538461538,0.933333333333333,0.789473684210526
all_lead_hit_rates_collapsed19,0.909090909090909,0.705882352941177,0.722222222222222,0.5,0.333333333333333,0.666666666666667,0.6,0.466666666666667
all_lead_hit_rates_collapsed20,0.722222222222222,0.894736842105263,0.8,0.625,0.842105263157895,0.476190476190476,0.99,0.75
all_lead_hit_rates_collapsed21,0.526315789473684,0.714285714285714,0.529411764705882,0.5625,0.6875,0.733333333333333,0.444444444444444,0.5
all_lead_hit_rates_collapsed22,0.5,0.5,0.714285714285714,0.882352941176471,0.294117647058824,0.666666666666667,0.444444444444444,0.4
all_lead_hit_rates_collapsed23,0.8125,0.833333333333333,0.8,0.789473684210526,0.8125,0.818181818181818,0.785714285714286,0.8125
all_lead_hit_rates_collapsed24,0.666666666666667,0.705882352941177,0.75,0.857142857142857,0.714285714285714,0.6875,0.727272727272727,0.692307692307692
all_lead_hit_rates_collapsed25,0.8,0.823529411764706,0.8,0.705882352941177,0.470588235294118,0.578947368421053,0.357142857142857,0.411764705882353
all_lead_hit_rates_collapsed26,0.823529411764706,0.5,0.8125,0.823529411764706,0.823529411764706,0.923076923076923,0.842105263157895,0.692307692307692
all_lead_hit_rates_collapsed27,0.928571428571429,0.785714285714286,0.785714285714286,0.99,0.473684210526316,0.733333333333333,0.99,0.954545454545455
all_lead_hit_rates_collapsed28,0.85,0.99,0.9375,0.894736842105263,0.5625,0.75,0.736842105263158,0.764705882352941
all_lead_hit_rates_collapsed29,0.75,0.75,0.785714285714286,0.714285714285714,0.583333333333333,0.875,0.666666666666667,0.769230769230769
all_lead_hit_rates_collapsed30,0.9375,0.611111111111111,0.933333333333333,0.789473684210526,0.789473684210526,0.823529411764706,0.823529411764706,0.928571428571429
