OriginalVariableNames,Var1,Var2,Var3,Var4
Var1,2.42290648933048,2.95998787482054,2.66238601441266,2.7570751733363
Var2,1.45350851914119,2.69245423084141,1.53412054435255,3.11798648178422
Var3,3.13094425440114,4.65269574808168,1.80774434802283,3.00083762423692
Var4,2.14633550424814,1.78773430230217,2.48365855865101,1.64524616247823
Var5,0.986422040601892,3.00083762423692,2.07300077090504,2.95998787482054
Var6,2.21216257971941,2.53677626828877,1.04534413323788,1.08093004996549
Var7,2.32634787404084,3.60789943958544,2.07300077090504,1.85275990831692
Var8,2.40013914784911,2.54935570498121,2.16903718943067,3.09105754782723
Var9,1.70342215083075,2.66238601441266,2.14633550424814,2.32634787404084
Var10,2.32634787404084,2.7570751733363,1.05981021660365,1.85275990831692
Var11,2.24269614013371,3.39391839791898,1.46898874434038,2.7570751733363
Var12,1.70342215083075,2.40999960794797,1.28381811826645,1.69143122896272
Var13,2.85074838674888,3.70934200114148,2.86774295916993,2.8922966959737
Var14,1.8019473613328,2.64498723800522,1.81905758342754,1.24773884290823
Var15,3.09105754782723,1.31100267096054,0.36610635680057,2.44615310505905
Var16,2.70373981786939,4.65269574808168,2.13514104775628,2.62932832209705
Var17,1.55384444626243,3.86046841839339,2.03017409335904,3.00083762423692
Var18,2.91580367189062,2.42290648933048,2.34270717961694,3.13094425440114
Var19,1.89562057474538,2.7570751733363,1.36411871977259,2.24269614013371
Var20,3.32949584170338,2.26663077425552,3.39391839791898,3.00083762423692
Var21,2.81512428515551,2.94927359725093,-0.279420597763724,2.32634787404084
Var22,1.78495278891175,2.7570751733363,2.18663757515898,2.07300077090504
Var23,3.21349443305972,3.23480574257823,3.11798648178422,3.21349443305972
Var24,2.8922966959737,2.81512428515551,1.20917069316647,2.8287500974142
Var25,2.25255660023257,2.52554919883011,1.09912743588495,2.10334004310047
Var26,3.25524736568811,2.85215374454569,1.33918610803436,2.8287500974142
Var27,2.260336061665,2.94927359725093,4.65269574808168,3.3812432591698
Var28,2.48365855865101,3.00083762423692,2.95998787482054,3.04787015802318
Var29,2.53677626828877,3.47669725441685,1.93181324533948,3.06266379141697
Var30,3.13094425440114,3.25524736568811,3.25524736568811,3.79158166672636
