OriginalVariableNames,Var1,Var2,Var3,Var4
Var1,2.71754413223031,4.07703394529301,3.37075666891344,4.01696950362574
Var2,4.11250343530192,3.42315143613435,2.37745201031039,3.68608525797945
Var3,4.65269574808168,4.07703394529301,0,3.54698822288819
Var4,2.26579561983041,3.99473906798792,1.81542911864144,3.42315143613435
Var5,1.60494409156738,3.22212769292443,3.75242474631369,3.45068610560948
Var6,2.62932832209705,3.10738168556355,2.10590068260463,2.85215374454569
Var7,3.37075666891344,4.65269574808168,1.64191131629778,3.75242474631369
Var8,3.10738168556355,3.68608525797945,3.70934200114148,4.12909096478003
Var9,2.26663077425552,3.70934200114148,3.03879090643033,2.93093322062408
Var10,3.63551959082662,3.07420646880414,-0.0231617290055455,2.12138951828569
Var11,2.93093322062408,4.03802318055057,1.64191131629778,3.39391839791898
Var12,2.39235968641668,2.93093322062408,1.32009574983674,2.13085272186394
Var13,1.99997811502852,3.60789943958544,1.82483913057209,3.47669725441685
Var14,2.00770851007647,3.00083762423692,3.47669725441685,3.32080575725059
Var15,4.09517291255955,3.34642410682704,0.292166860060464,4.05801227016309
Var16,3.13856567554075,4.65269574808168,4.65269574808168,4.1449934668909
Var17,3.29376944014254,4.65269574808168,1.9900183100503,3.54698822288819
Var18,4.65269574808168,3.41600985598695,-0.594683477918595,4.11250343530192
Var19,2.16213709696151,3.16796910761376,3.70934200114148,3.45068610560948
Var20,3.79158166672636,3.77245146695902,0.900271001767993,2.38614209476317
Var21,3.63551959082662,4.03802318055057,-0.544822794703923,2.96701476395995
Var22,1.86264012258366,3.16796910761376,2.2053933612809,3.13856567554075
Var23,2.79404667315535,2.40954381458141,2.52200916887475,3.34642410682704
Var24,3.13856567554075,3.42315143613435,0,3.23480574257823
Var25,2.6022689371488,3.00083762423692,1.6537162335659,2.27619429057611
Var26,3.19577164732973,3.66152561015978,0,3.26516219091774
Var27,2.54414625396824,4.65269574808168,4.65269574808168,4.12909096478003
Var28,1.96045176717629,3.39391839791898,3.70934200114148,3.22212769292443
Var29,2.37574177792546,3.42315143613435,1.3514570219721,2.80585352737179
Var30,3.54698822288819,2.95503399475721,2.08261125163941,3.29376944014254
